번호,국명,학명,국내보전,국제보전,번식기록,계절성,개체수
1,흑기러기,Branta bernicla,LAT,LC,0,W,V1
2,붉은가슴기러기,Branta ruficollis,IOS,VU,0,,V2
3,흰얼굴기러기,Branta leucopsis,IOS,LC,0,,V2
4,캐나다기러기,Branta hutchinsii,IOS,LC,0,W,V1
5,줄기러기,Anser indicus,IOS,LC,0,,V2
6,흰머리기러기,Anser canagicus,IOS,NT,0,,V2
7,흰기러기,Anser caerulescens,ILT,LC,0,W,V1
8,회색기러기,Anser anser,IOS,LC,0,,V1
9,개리,Anser cygnoides,GCS,VU,0,"P,W","3,5"
10,큰부리큰기러기,Anser fabalis,RCP,LC,0,"W,S","3,V2"
11,큰기러기,Anser serrirostris,RCP,NR,0,"P,W,S","1,2,V1"
12,쇠기러기,Anser albifrons,RCP,LC,0,"P,W,S","1,1,V1"
13,흰이마기러기,Anser erythropus,GCS,VU,0,"P,W","5,5"
14,혹고니,Cygnus olor,TNS,LC,0,W,5
15,고니,Cygnus columbianus,NBS,LC,0,"W,P","5,5"
16,큰고니,Cygnus cygnus,PNS,LC,0,"W,S","3,V2"
17,혹부리오리,Tadorna tadorna,DES,LC,0,"W,S","2,V2"
18,황오리,Tadorna ferruginea,NBS,LC,0,"W,S","3,V2"
19,원앙,Aix galericulata,NBM,LC,1,"R,P,W","3,3,3"
20,쇠솜털오리,Nettapus coromandelianus,IOS,LC,0,,V2
21,가창오리,Sibirionetta formosa,GFI,LC,0,"W,S","1,V2"
22,발구지,Spatula querquedula,DES,LC,0,P,4
23,넓적부리오리,Spatula clypeata,LCS,LC,0,"W,S","3,V2"
24,알락오리,Mareca strepera,LCS,LC,0,"W,S","2,V2"
25,청머리오리,Mareca falcata,PCS,NT,2,"W,S","3,V1"
26,홍머리오리,Mareca penelope,NBM,LC,0,"W,P,S","2,3,V1"
27,아메리카홍머리오리,Mareca americana,IOS,LC,0,W,V1
28,흰뺨검둥오리,Anas zonorhyncha,NBM,LC,1,"W,R","2,2"
29,청둥오리,Anas platyrhynchos,NBS,LC,1,"W,P,R","1,2,4"
30,고방오리,Anas acuta,NBS,LC,0,"W,P,S","2,3,V2"
31,쇠오리,Anas crecca,DES,LC,0,"W,S","2,V1"
32,미국쇠오리,Anas carolinensis,IOS,LC,0,,V2
33,붉은부리흰죽지,Netta rufina,IOS,LC,0,,V1
34,큰흰죽지,Aythya valisineria,IOS,LC,0,,V2
35,흰죽지,Aythya ferina,GCS,VU,0,"P,W,S","2,2,V1"
36,붉은가슴흰죽지,Aythya baeri,LAT,CR,0,,V1
37,적갈색흰죽지,Aythya nyroca,IOS,NT,0,,V1
38,줄부리오리,Aythya collaris,IOS,LC,0,,V2
39,댕기흰죽지,Aythya fuligula,LCS,LC,0,"W,P,S","3,4,V2"
40,검은머리흰죽지,Aythya marila,LCS,LC,0,"W,S","2,V2"
41,쇠검은머리흰죽지,Aythya affinis,IOS,LC,0,,V2
42,호사북방오리,Somateria spectabilis,IOS,LC,0,,V2
43,흰줄박이오리,Histrionicus histrionicus,PNS,LC,0,W,4
